total_packets,total_packets_in,total_packets_out,total_bytes,total_bytes_in,total_bytes_out,packet_size_mean,packet_size_std,packet_size_var,packet_size_kurtosis,packet_size_skew,packet_size_min,packet_size_max,packet_size_p_10,packet_size_p_20,packet_size_p_30,packet_size_p_40,packet_size_p_50,packet_size_p_60,packet_size_p_70,packet_size_p_80,packet_size_p_90,packet_size_in_mean,packet_size_in_std,packet_size_in_var,packet_size_in_kurtosis,packet_size_in_skew,packet_size_in_min,packet_size_in_max,packet_size_in_p_10,packet_size_in_p_20,packet_size_in_p_30,packet_size_in_p_40,packet_size_in_p_50,packet_size_in_p_60,packet_size_in_p_70,packet_size_in_p_80,packet_size_in_p_90,packet_size_out_mean,packet_size_out_std,packet_size_out_var,packet_size_out_kurtosis,packet_size_out_skew,packet_size_out_min,packet_size_out_max,packet_size_out_p_10,packet_size_out_p_20,packet_size_out_p_30,packet_size_out_p_40,packet_size_out_p_50,packet_size_out_p_60,packet_size_out_p_70,packet_size_out_p_80,packet_size_out_p_90,packet_time_mean,packet_time_std,packet_time_var,packet_time_kurtosis,packet_time_skew,packet_time_min,packet_time_max,packet_time_p_10,packet_time_p_20,packet_time_p_30,packet_time_p_40,packet_time_p_50,packet_time_p_60,packet_time_p_70,packet_time_p_80,packet_time_p_90,packet_time_in_mean,packet_time_in_std,packet_time_in_var,packet_time_in_kurtosis,packet_time_in_skew,packet_time_in_min,packet_time_in_max,packet_time_in_p_10,packet_time_in_p_20,packet_time_in_p_30,packet_time_in_p_40,packet_time_in_p_50,packet_time_in_p_60,packet_time_in_p_70,packet_time_in_p_80,packet_time_in_p_90,packet_time_out_mean,packet_time_out_std,packet_time_out_var,packet_time_out_kurtosis,packet_time_out_skew,packet_time_out_min,packet_time_out_max,packet_time_out_p_10,packet_time_out_p_20,packet_time_out_p_30,packet_time_out_p_40,packet_time_out_p_50,packet_time_out_p_60,packet_time_out_p_70,packet_time_out_p_80,packet_time_out_p_90,out_burst_packets_mean,out_burst_packets_std,out_burst_packets_var,out_burst_packets_kurtosis,out_burst_packets_skew,out_burst_packets_min,out_burst_packets_max,out_burst_packets_p_10,out_burst_packets_p_20,out_burst_packets_p_30,out_burst_packets_p_40,out_burst_packets_p_50,out_burst_packets_p_60,out_burst_packets_p_70,out_burst_packets_p_80,out_burst_packets_p_90,out_burst_sizes_mean,out_burst_sizes_std,out_burst_sizes_var,out_burst_sizes_kurtosis,out_burst_sizes_skew,out_burst_sizes_min,out_burst_sizes_max,out_burst_sizes_p_10,out_burst_sizes_p_20,out_burst_sizes_p_30,out_burst_sizes_p_40,out_burst_sizes_p_50,out_burst_sizes_p_60,out_burst_sizes_p_70,out_burst_sizes_p_80,out_burst_sizes_p_90,in_burst_packets_mean,in_burst_packets_std,in_burst_packets_var,in_burst_packets_kurtosis,in_burst_packets_skew,in_burst_packets_min,in_burst_packets_max,in_burst_packets_p_10,in_burst_packets_p_20,in_burst_packets_p_30,in_burst_packets_p_40,in_burst_packets_p_50,in_burst_packets_p_60,in_burst_packets_p_70,in_burst_packets_p_80,in_burst_packets_p_90,in_burst_sizes_mean,in_burst_sizes_std,in_burst_sizes_var,in_burst_sizes_kurtosis,in_burst_sizes_skew,in_burst_sizes_min,in_burst_sizes_max,in_burst_sizes_p_10,in_burst_sizes_p_20,in_burst_sizes_p_30,in_burst_sizes_p_40,in_burst_sizes_p_50,in_burst_sizes_p_60,in_burst_sizes_p_70,in_burst_sizes_p_80,in_burst_sizes_p_90,datetime,label
1888,947,941,797732,444292,353440,422.5275423728813,129.63727625170196,16805.823393960087,9.652853332465751,0.6640306056731967,38,1294,328,360,376,408,424,456,472,504,536,469.1573389651531,133.5077071700578,17824.307873805905,9.819951607638652,0.10361555925557536,38,1294,408,440,456,472,472,488,504,520,568,375.60042507970246,106.7262319508624,11390.488586429281,19.807799715387045,1.4395582736253056,38,1294,328,344,360,376,376,392,408,424,448.53333333333467,0.031593593517560206,0.0245868347139416,0.0006045124412506836,627.9379778682197,19.155007424740532,0,0.8435490131378174,0.01020817756652832,0.016166830062866212,0.02137734095255534,0.025498374303181966,0.030252933502197266,0.03579877217610677,0.04111941655476888,0.045968294143676765,0.052120097478230785,0.04178230681832699,0.02938686410155584,0.0008635877817233113,582.9065479594598,21.35449752752522,0,0.8435490131378174,0.02301023801167806,0.032892799377441405,0.03710508346557617,0.040094550450642905,0.04303157329559326,0.045637893676757815,0.04902578989664714,0.05147123336791993,0.05592802365620931,0.021350742526566185,0.011609609656084595,0.00013478303636665266,17.838237241540014,2.3745244427989167,0.00012111663818359375,0.1360170841217041,0.008628654479980468,0.012382698059082032,0.015665133794148762,0.01784230868021647,0.021142959594726563,0.023251899083455402,0.02571759223937988,0.028912830352783202,0.03356599807739258,2.074626865671642,0.262788311368045,0.06905769659166856,8.480645161290317,3.2373824552082677,2,3,2,2,2,2,2,2,2,2,2,601.6716417910447,344.5051128472574,118683.77277790155,12.640500810507666,3.6312788564239673,432,2120,448,464,480,480,496,512,528,579.2,780.7999999999998,2.1323529411764706,0.6394945560340853,0.4089532871972319,46.566129577578266,6.6241179205846645,2,7,2,2,2,2,2,2,2,2,2,767.4411764705883,524.4916693768117,275091.51124567474,20.168493254405675,4.176300756211072,496,4008,530.6666666666666,544,560,576,592,608,656,768,1005.3333333333334,2025-05-16 02:22:43.888119,0
1891,948,943,683500,397878,285622,361.44896879957696,131.55302635937142,17306.198744309473,17.433333227936803,2.4232503190455303,38,1294,264,296,296,312,360,408,424,440,456,419.7025316455696,121.75953386251851,14825.384086417791,19.5375008882605,1.6947643323788344,38,1294,392,408,408,424,424,440,440,456,472,302.8865323435843,113.83820847297231,12959.137708335906,43.30891529755242,5.193672940705841,38,1294,264,280,280,296,296,312,312,328,344,0.0315734344815451,0.02911188746086793,0.0008475019915342393,282.9494747494536,10.678896133839078,0,0.8201930522918701,0.0038724422454833986,0.007896900177001953,0.01211717128753662,0.01760204633076986,0.025627970695495605,0.04131868680318195,0.050109704335530594,0.05543503761291504,0.06121147473653156,0.022053694397746067,0.03158786826803379,0.0009977934217186557,427.7364039108303,17.221986058669188,0,0.8201930522918701,0.003591585159301758,0.00685696601867676,0.009876855214436847,0.012563514709472657,0.015468120574951172,0.019138669967651366,0.023323567708333333,0.032821893692016615,0.05521202087402344,0.04113355522317573,0.02267525710349918,0.00051416728470979,0.8651155865050209,-0.27270810145018326,0.00011610984802246094,0.17343807220458984,0.004319985707600911,0.0108489990234375,0.03343439102172851,0.04427631696065267,0.04906892776489258,0.05255627632141113,0.05579169591267904,0.05937004089355469,0.06431818008422852,2.134228187919463,0.4281647760466196,0.18332507544705196,16.776098497425295,3.816863082370503,2,5,2,2,2,2,2,2,2,2,3,618.751677852349,418.34037562699484,175008.66987973516,39.22043384952782,6.191807791385512,368,3542,400,419.20000000000005,544,576,592,592,608,638.4000000000001,712,2.138157894736842,0.6391744480728655,0.4085439750692522,85.12254433121781,8.486894203436517,2,9,2,2,2,2,2,2,2,2,2,853.0263157894736,562.4190695858339,316315.2098337951,54.191692884128436,6.860399726431263,496,6078,528,544,784.5333333333334,816,840,864,880,912,968,2025-05-17 09:18:26.666736,0
1884,944,940,1040936,570804,470132,552.5138004246285,146.50770912447868,21464.508832902855,5.694685623386899,-1.3930672530864978,38,1294,472,504,520,536,568,600,616,648,667.7333333333299,604.6652542372881,147.6711525695069,21806.769301206583,7.91842569898172,-2.2573931038662867,38,1294,568,600,616,616,632,648,648,664,696,500.1404255319149,125.08586609881728,15646.473897691247,10.05107070391827,-1.25011961040197,38,1294,472,488,504,504,520,536,536,552,568,0.03166380678157634,0.031081195464972927,0.0009660407115318536,222.77820429949887,8.939114980152391,0,0.8246569633483887,0.003142833709716797,0.005814075469970703,0.008984009424845379,0.012317895889282228,0.021384000778198242,0.04669785499572753,0.055416107177734375,0.059271812438964844,0.06314738591512044,0.04393508224446852,0.034045247905555374,0.0011590789049507227,290.70648804102035,12.495563484934772,0,0.8246569633483887,0.0037759939829508466,0.010125875473022463,0.040608644485473626,0.049794912338256836,0.05412697792053223,0.05669101079305013,0.05882859230041504,0.060707807540893555,0.06342204411824544,0.01935336767358983,0.02167428749411572,0.0004697747383775812,2.879798078112813,1.7241343276180994,0.00005698204040527344,0.15050220489501953,0.002747980753580729,0.004686021804809571,0.006556193033854167,0.008519570032755535,0.010663032531738281,0.012656354904174806,0.016513355573018394,0.028286075592041063,0.06267288525899252,2.1091954022988504,0.329796936446059,0.10876601928920587,8.420667421687634,2.9758523572162776,2,4,2,2,2,2,2,2,2,2,3,996.7586206896551,267.81031911295867,71722.36702338475,11.989085574705685,1.9494195170889137,572,2768,616.2666666666667,671.2,992,1024,1040,1056,1077.8666666666666,1104,1152.9333333333334,2.1193181818181817,0.46767266003279323,0.21871771694214862,65.54413779768811,7.050138432436962,2,7,2,2,2,2,2,2,2,2,2.03333333333336,1190.0454545454545,342.3135162222341,117178.54338842975,38.7945546689884,4.045216323102342,656,4344,736,800,1200,1232,1248,1273.0666666666666,1312,1360,1376,2025-05-15 20:49:51.898554,0
1869,936,933,650642,326169,324473,348.12306046013913,78.29715828326705,6130.444995234975,7.017396863952431,-1.1510134044302722,60,847,312,328,344,344,360,360,376,392,408,348.47115384615387,79.4223483933185,6307.9094243096615,7.693470083177866,-0.9390619685544801,60,847,312,328,344,344,360,360,376,392,408,347.7738478027867,77.15028472332439,5952.1664328900215,6.231831609174401,-1.383113424439638,60,767,312,328,344,344,360,360,376,392,408,0.031944887030558616,0.03062856876147084,0.0009381092243761473,235.3285413187783,9.365507680977435,0,0.8221840858459473,0.002466281255086263,0.005886077880859375,0.009522596995035808,0.01617169380187989,0.02667403221130371,0.043666998545328774,0.05268228054046631,0.05893397331237793,0.06369765599568684,0.02397042697763698,0.033448445124673314,0.001118798481258282,344.5254479747161,14.784519806513488,0,0.8221840858459473,0.0023234685262044272,0.0059093952178955085,0.00847781499226888,0.011486832300821944,0.01593303680419922,0.020535453160603852,0.0275593916575114,0.045047855377197264,0.05996311505635579,0.03993644131724858,0.025088630244797933,0.0006294393675601896,-0.141378861784482,-0.25008255740479257,0.00007081031799316406,0.16570305824279785,0.00265041987101237,0.005795001983642581,0.02197798093159991,0.04283928871154785,0.04928994178771973,0.054783026377360024,0.058464765548706055,0.062110185623168945,0.06545265515645345,2.076923076923077,0.26646935501059643,0.07100591715976326,8.083333333333334,3.1754264805429417,2,3,2,2,2,2,2,2,2,2,2,685.7333333333333,128.95716111061617,16629.949401709415,0.23421943046828675,-0.39737949860330124,384,1104,464,598.4000000000001,656,688,704,736,752,784,832,2.081218274111675,0.3241584779916671,0.1050787188538741,34.62906056277292,5.193652206248508,2,5,2,2,2,2,2,2,2,2,2,685.6345177664974,178.1028574842549,31720.627844056813,38.430636019080595,4.086808486500999,400,2367,449.06666666666666,537.6000000000001,656,688,704,720,752,768,815.4666666666669,2025-05-16 19:21:18.913933,0
1895,949,946,745076,424194,320882,393.17994722955143,146.234671772782,21384.579228493283,14.270579223551149,2.248514984716169,38,1294,296,328,328,360,408,424,440,456,488,446.9905163329821,146.46682917696364,21452.53204915385,14.696403571202286,1.9112656994367723,38,1294,408,424,440,440,456,456,472,472,504,339.19873150105707,124.48967556330975,15497.679321858119,27.081390490052165,3.6787943151041227,38,1294,295.4666666666667,312,312,328,328,344,344,360,392,0.031460129220231406,0.030328397493734848,0.0009198116945379821,261.2926868411049,10.039907113238929,0,0.8376181125640869,0.00324239730834961,0.006553030014038085,0.010410618782043458,0.01474116643269857,0.02277553081512451,0.042132727305094396,0.05295350551605225,0.058087921142578124,0.06283608277638751,0.01845224899581716,0.03172166977433437,0.0010062643332719187,466.59953079254086,18.420919065203,0,0.8376181125640869,0.0025823513666788736,0.0049631595611572266,0.0075134436289469395,0.009668350219726563,0.011723041534423828,0.014583349227905275,0.019047061602274578,0.025374889373779314,0.04824801286061605,0.04449551024850277,0.02221919096235802,0.0004936924470217322,-0.15427733615813422,-0.7715643066140612,0.00006198883056640625,0.14965486526489258,0.004738179842631023,0.01706843376159669,0.040915664037068686,0.04907965660095215,0.0531390905380249,0.056286859512329104,0.058923768997192386,0.06195945739746095,0.06497705777486167,2.1538461538461537,0.45508306023843215,0.20710059171597647,13.176326530612265,3.4361557270819407,2,5,2,2,2,2,2,2,2,2,3,717.3846153846154,499.17396460833237,249174.64694280064,39.60625216698592,6.059355489473618,384,4446,432,473.6,624,640,656,672,704,752,848.1333333333334,2.189542483660131,0.5332307988070885,0.2843350847964457,20.666887542905197,4.0186165795888735,2,6,2,2,2,2,2,2,2,2,3,927.1503267973857,557.3252974751599,310611.4872057755,20.349116465340863,4.430444468664563,510,3934,544,576,832,880,896,912,941.3333333333333,968,1021.3333333333335,2025-05-17 10:48:27.804232,0
1891,948,943,700396,405846,294550,370.3839238498149,135.44431314235544,18345.16196260444,13.839314258392907,2.0935157389041805,38,1294,280,296,312,328,360,408,424,440,472,428.10759493670884,130.7000666054587,17082.507410671336,13.697563328765728,1.3783706449117255,38,1294,376,392,408,424,424,440,440,456,517.3333333333339,312.3541887592789,113.56659675806658,12897.371899209298,37.03684438920811,4.513508032422024,38,1294,264,280,296,296,312,312,328,328,360,0.031569949155131345,0.023539161158818725,0.0005540921080608401,698.3438346186384,20.753579269763186,0,0.8299551010131836,0.011365103721618653,0.018759822845458983,0.023697161674499513,0.028026231129964194,0.031563520431518555,0.03553651173909504,0.03943369388580322,0.043283128738403315,0.04926263491312662,0.03891097328604967,0.029233291154391352,0.0008545853117174156,563.3733532398484,20.81331802538981,0,0.8299551010131836,0.01811825434366862,0.029927301406860354,0.03435638745625814,0.03772114117940267,0.0400090217590332,0.042434342702229816,0.04519941012064616,0.048793935775756844,0.05365982055664063,0.02419778600350923,0.011994009369279317,0.00014385626075036004,28.458381503459044,2.685701188316598,0.00008702278137207031,0.15980291366577148,0.009986321131388346,0.015290021896362306,0.018790562947591145,0.02147960662841797,0.024309873580932617,0.026770750681559246,0.029408534367879234,0.03230595588684083,0.03678337732950846,2.0952380952380953,0.42591770999995987,0.18140589569160992,16.05000000000003,4.248529157249608,2,4,2,2,2,2,2,2,2,2,2,567.1428571428571,631.2484696104124,398474.6303854877,16.072499641588212,4.228357962089207,352,3510,384,400,400,400,416,432,432,448.0000000000001,533.3333333333334,2.15625,0.9051717723725152,0.8193359375000004,48.340643339238355,6.892998243937464,2,9,2,2,2,2,2,2,2,2,2,750.03125,843.0098229104079,710665.5615234374,25.782986771868334,4.974208921419683,464,6126,496,512,522.1333333333332,528,536,544,560,576,835.7333333333333,2025-05-17 09:19:51.682452,0
1886,945,941,924776,512412,412364,490.3372216330859,136.90543199669685,18743.097310202185,6.60341118072887,-0.5586033520629095,38,1294,408,440,456,472,504,536,552,584,600,542.2349206349206,138.49409227603917,19180.613595364055,8.341196271437088,-1.3897818046659154,38,1294,501.8666666666668,520,536,552,568,568,584,600,632,438.21891604675875,113.50146835668085,12882.583319122625,13.716901179640331,-0.10183423635163423,38,1294,408,424,424,440,456,456,472,488,504,0.03165983635171339,0.02391496238376914,0.000571925425817093,723.1915806515412,21.285897991451833,0,0.8494079113006592,0.009969154993693033,0.019540882110595702,0.025002622604370115,0.028818066914876303,0.03184199333190918,0.034923044840494785,0.03817605972290039,0.042590188980102535,0.049092912673950155,0.026351960786318376,0.029457689115529633,0.0008677554480271929,642.6841498824587,23.091210932374366,0,0.8494079113006592,0.007571204503377278,0.014269590377807617,0.02003963788350423,0.02339944839477539,0.026910066604614258,0.029783900578816733,0.032262786229451494,0.03527050018310547,0.039490938186645515,0.03698463394335302,0.014782944096292648,0.00021853543615411365,6.119758984639212,0.44452887128998503,0.0001049041748046875,0.15010905265808105,0.01782395044962565,0.0278170108795166,0.031182368596394856,0.034341955184936525,0.03740501403808594,0.04074010848999023,0.04406455357869466,0.04814138412475586,0.05382472674051921,2.0597014925373136,0.23693295322966484,0.05613722432613055,11.813492063492058,3.716650651257399,2,3,2,2,2,2,2,2,2,2,2,671.2835820895523,335.85705941265826,112799.96435731786,11.109667059053383,3.4311106757087404,480,2088,528,544,544,560,560,576,592,624,939.7333333333331,2.121212121212121,0.5369710650505863,0.288337924701561,38.688364639539095,5.965750929028987,2,6,2,2,2,2,2,2,2,2,2,813.3333333333334,442.04131622793494,195400.52525252517,17.72990473875127,3.972028082028084,574,3424,623.4666666666667,640,643.7333333333333,669.8666666666666,672,688,716.2666666666667,736,1152.5333333333333,2025-05-15 23:18:28.057907,0
1891,948,943,1083451,557589,525862,572.9513484928609,159.64093356670259,25485.227670048345,5.687119194055256,-0.8662875450973501,38,1294,488,520,552,568,600,616,632,664,680,588.1740506329114,159.8678920644422,25557.742913128142,6.069984632911812,-1.1646617844177898,38,1294,504,536,568,584,616,632,664,680,696,557.6479321314953,157.94041292009356,24945.174033369658,5.738142335248561,-0.5867862488866261,38,1294,472,504,536,552,584,600,616,632,664,0.03154105875227187,0.023825812993445817,0.0005676693647986515,728.0646697804887,21.38467141593137,0.000011920928955078125,0.8481709957122803,0.011055175463358562,0.01837172508239746,0.023787569999694825,0.028055047988891604,0.0317310094833374,0.03470341364542643,0.03844390710194905,0.04352035522460937,0.0500079870223999,0.026608094997869248,0.029386680028531523,0.0008635769630992935,642.1556588342423,23.068856039713584,0.000011920928955078125,0.8481709957122803,0.009354623158772786,0.014495325088500979,0.018535614013671875,0.022726837793986,0.02648305892944336,0.029010279973347982,0.03230695724487305,0.03595323562622072,0.04131302833557129,0.03649494706130609,0.014883824449963763,0.00022152823025733913,5.293887444080376,0.39855738666194257,0.00009584426879882813,0.14781403541564941,0.017899354298909508,0.025604009628295912,0.03088863690694173,0.03410625457763672,0.03681802749633789,0.040078322092692055,0.04414741198221842,0.04855918884277344,0.05398368835449219,2.090909090909091,0.416597790450531,0.17355371900826455,17.04761904761903,4.364357804719844,2,4,2,2,2,2,2,2,2,2,2,860.8787878787879,537.4964556655945,288902.4398530763,12.993764810570424,3.6741876928697623,560,3286,608,640,656,688,704,720,752,803.1999999999999,1232.5333333333333,2.1515151515151514,0.7832029080800053,0.6134067952249772,44.625282369392956,6.539964732926233,2,8,2,2,2,2,2,2,2,2,2,908.9848484848485,692.6449195792289,479756.98461891647,21.638152156551747,4.591145566887441,592,5101,640,681.6,704,720,744,768,768,800,1138.6666666666665,2025-05-17 11:52:42.670239,0
1898,946,952,1628829,802256,826573,858.18177028451,237.38374481423406,56351.0423020294,5.09233426365526,-2.148131338380621,25,1294,776,824,856,872,888,904,936,968,1048,848.0507399577167,228.5964472423872,52256.335691841516,5.269095271084245,-2.1139562175206996,38,1294,760,808,824,856,872,888,920,968,1032.5333333333347,868.2489495798319,245.39071486116399,60216.60294007309,5.001526131357311,-2.1951123191259283,25,1294,808,840,872,888,904,920,952,984,1064,0.03143712867230067,0.023156942513636588,0.0005362439865798696,1017.168363157553,27.316063677719853,0.000007867813110351563,0.8950798511505127,0.015332253774007164,0.022061252593994142,0.025992425282796223,0.029081296920776368,0.031321048736572266,0.03454575538635254,0.037368233998616524,0.04067497253417969,0.045100069046020506,0.03237688024208028,0.030582983801722308,0.000935318898216409,667.1287531112023,23.728904560768857,0.000007867813110351563,0.8950798511505127,0.014516401290893557,0.021787071228027345,0.026827001571655275,0.030003801981608073,0.03220009803771973,0.035329516728719076,0.038108078638712566,0.04125137329101563,0.04541896184285482,0.03050428704053414,0.011762508932869285,0.00013835661639582974,1.50604395010535,-0.05279224906816192,0.00011610984802246094,0.09373807907104492,0.01645205815633138,0.022155380249023436,0.025602221488952633,0.028179613749186202,0.03033149242401123,0.033410040537516277,0.03657596111297608,0.03987793922424317,0.044863406817118326,2.085714285714286,0.4050699108216523,0.16408163265306133,18.378109452736304,4.514211941495027,2,4,2,2,2,2,2,2,2,2,2,1147.6714285714286,424.1413080373962,179895.84918367342,14.893447051495965,3.879286495658702,880,3174,933.8666666666667,966.4,976,1008,1024,1056,1088,1209.6,1351,2.1311475409836067,0.6133864568481872,0.376242945444773,25.772783673469405,5.031536500598141,2,6,2,2,2,2,2,2,2,2,2,1141.1803278688524,559.1520954467715,312651.0658425154,22.075282586843098,4.588697117779658,880,4528,903.4666666666667,921.6,960,976,1008,1024,1056,1152,1292.8000000000006,2025-05-16 05:49:54.155352,0
1872,936,936,629125,326104,303021,336.071047008547,73.92724807456406,5465.238007878135,4.58499477864586,-1.5685195956741818,60,623,296,312,328,328,344,360,360,376,408,348.4017094017094,76.920406173959,5916.748885966829,4.809193503293936,-1.6159381325011273,60,623,312,328,344,344,360,360,376,392,424,323.74038461538464,68.6267925790003,4709.63665968113,5.016754827793532,-1.7842041664332333,60,575,296,312,312,328,328,344,344,360,376,0.031878003202486266,0.024511009553324237,0.000600789589323152,701.440634418832,21.024350679124748,0,0.8617699146270752,0.011531893412272136,0.018978452682495116,0.023267745971679688,0.027341461181640624,0.03135085105895996,0.034866682688395184,0.0389322280883789,0.044014692306518555,0.05012272198994954,0.03969212088355406,0.030797109082146324,0.0009484619278176197,541.1689035411721,20.478024721248325,0,0.8617699146270752,0.01893272399902344,0.029547548294067385,0.033265908559163414,0.037166293462117514,0.039939165115356445,0.043295335769653324,0.046025562286376956,0.04947805404663086,0.054932228724161786,0.0240722339377444,0.01147011169058198,0.00013156346219442543,11.519405048447423,1.4740541194499714,0.00045013427734375,0.12923717498779297,0.009474706649780274,0.014895009994506837,0.018994967142740887,0.021668386459350587,0.02401149272918701,0.02657519976298014,0.02908010482788086,0.03282341957092285,0.03639706770579021,2.03125,0.1739926363384382,0.030273437500000003,27.032258064516128,5.388159060803249,2,3,2,2,2,2,2,2,2,2,2,469.4375,102.69704763891704,10546.683593749996,4.16675377127428,2.2601952446617384,336,808,400,416,416,432,432,448,453.86666666666656,479.20000000000005,588.8000000000002,2.0153846153846153,0.12307692307692313,0.01514792899408285,60.015625000000014,7.874999999999997,2,3,2,2,2,2,2,2,2,2,2,513.4615384615385,137.31256617077096,18854.740828402355,14.865410737231247,3.475042092256801,400,1295,432,432,448,464,480,480,497.0666666666666,537.6,676.2666666666667,2025-05-16 22:18:27.866039,0
