total_packets,total_packets_in,total_packets_out,total_bytes,total_bytes_in,total_bytes_out,packet_size_mean,packet_size_std,packet_size_var,packet_size_kurtosis,packet_size_skew,packet_size_min,packet_size_max,packet_size_p_10,packet_size_p_20,packet_size_p_30,packet_size_p_40,packet_size_p_50,packet_size_p_60,packet_size_p_70,packet_size_p_80,packet_size_p_90,packet_size_in_mean,packet_size_in_std,packet_size_in_var,packet_size_in_kurtosis,packet_size_in_skew,packet_size_in_min,packet_size_in_max,packet_size_in_p_10,packet_size_in_p_20,packet_size_in_p_30,packet_size_in_p_40,packet_size_in_p_50,packet_size_in_p_60,packet_size_in_p_70,packet_size_in_p_80,packet_size_in_p_90,packet_size_out_mean,packet_size_out_std,packet_size_out_var,packet_size_out_kurtosis,packet_size_out_skew,packet_size_out_min,packet_size_out_max,packet_size_out_p_10,packet_size_out_p_20,packet_size_out_p_30,packet_size_out_p_40,packet_size_out_p_50,packet_size_out_p_60,packet_size_out_p_70,packet_size_out_p_80,packet_size_out_p_90,packet_time_mean,packet_time_std,packet_time_var,packet_time_kurtosis,packet_time_skew,packet_time_min,packet_time_max,packet_time_p_10,packet_time_p_20,packet_time_p_30,packet_time_p_40,packet_time_p_50,packet_time_p_60,packet_time_p_70,packet_time_p_80,packet_time_p_90,packet_time_in_mean,packet_time_in_std,packet_time_in_var,packet_time_in_kurtosis,packet_time_in_skew,packet_time_in_min,packet_time_in_max,packet_time_in_p_10,packet_time_in_p_20,packet_time_in_p_30,packet_time_in_p_40,packet_time_in_p_50,packet_time_in_p_60,packet_time_in_p_70,packet_time_in_p_80,packet_time_in_p_90,packet_time_out_mean,packet_time_out_std,packet_time_out_var,packet_time_out_kurtosis,packet_time_out_skew,packet_time_out_min,packet_time_out_max,packet_time_out_p_10,packet_time_out_p_20,packet_time_out_p_30,packet_time_out_p_40,packet_time_out_p_50,packet_time_out_p_60,packet_time_out_p_70,packet_time_out_p_80,packet_time_out_p_90,out_burst_packets_mean,out_burst_packets_std,out_burst_packets_var,out_burst_packets_kurtosis,out_burst_packets_skew,out_burst_packets_min,out_burst_packets_max,out_burst_packets_p_10,out_burst_packets_p_20,out_burst_packets_p_30,out_burst_packets_p_40,out_burst_packets_p_50,out_burst_packets_p_60,out_burst_packets_p_70,out_burst_packets_p_80,out_burst_packets_p_90,out_burst_sizes_mean,out_burst_sizes_std,out_burst_sizes_var,out_burst_sizes_kurtosis,out_burst_sizes_skew,out_burst_sizes_min,out_burst_sizes_max,out_burst_sizes_p_10,out_burst_sizes_p_20,out_burst_sizes_p_30,out_burst_sizes_p_40,out_burst_sizes_p_50,out_burst_sizes_p_60,out_burst_sizes_p_70,out_burst_sizes_p_80,out_burst_sizes_p_90,in_burst_packets_mean,in_burst_packets_std,in_burst_packets_var,in_burst_packets_kurtosis,in_burst_packets_skew,in_burst_packets_min,in_burst_packets_max,in_burst_packets_p_10,in_burst_packets_p_20,in_burst_packets_p_30,in_burst_packets_p_40,in_burst_packets_p_50,in_burst_packets_p_60,in_burst_packets_p_70,in_burst_packets_p_80,in_burst_packets_p_90,in_burst_sizes_mean,in_burst_sizes_std,in_burst_sizes_var,in_burst_sizes_kurtosis,in_burst_sizes_skew,in_burst_sizes_min,in_burst_sizes_max,in_burst_sizes_p_10,in_burst_sizes_p_20,in_burst_sizes_p_30,in_burst_sizes_p_40,in_burst_sizes_p_50,in_burst_sizes_p_60,in_burst_sizes_p_70,in_burst_sizes_p_80,in_burst_sizes_p_90,datetime,label
3991,2177,1814,4273468,2332793,1940675,1070.7762465547482,402.3127325231349,161855.5347502315,0.7834884933148234,-1.5410384326994186,16,1294,249,743.0000000000007,1257,1294,1294,1294,1294,1294,1294,1071.5631603123566,442.724744753052,196005.19961665504,0.6949731968389541,-1.6140867212859367,16,1294,137,1113,1294,1294,1294,1294,1294,1294,1294,1069.831863285557,347.6644025201019,120870.53677965942,0.2879408545645554,-1.2587250850824725,38,1294,521,713,921,1294,1294,1294,1294,1294,1294,0.010014775761386804,0.021967152224871434,0.00048255577687067404,634.1647237075155,16.86426683375553,0,0.8859128952026367,0.000006198883056640625,0.000010013580322265625,0.00008487701416015625,0.00012803077697753906,0.00019943714141845703,0.0010959307352701802,0.006417441368103027,0.018294382095336917,0.040142512321472174,0.013163396979079527,0.02741451851969354,0.0007515558256666201,471.2208350707267,15.451879011310464,0,0.8859128952026367,0.0000050067901611328125,0.0000069141387939453125,0.000009775161743164063,0.000010967254638671875,0.000013113021850585938,0.005674378077189127,0.006848430633544921,0.037521982192993165,0.047439940770467134,0.0062378188872416205,0.011563595522640349,0.0001337167414112279,9.804588979985942,2.8002627961592026,0.0000400543212890625,0.07145905494689941,0.00011897087097167969,0.00012493133544921875,0.0001566171646118164,0.0001872062683105469,0.00021409988403320313,0.0002989768981933594,0.005353856086730956,0.013054704666137694,0.020819886525472002,3.2851919561243146,0.8438508134311117,0.7120841953283488,13.256096212136292,3.401569698314748,2,9,3,3,3,3,3,3,3,3,4,3524.111517367459,906.8577407563582,822390.9619697261,15.022636548845359,3.6358925927575485,1863,9748,3029,3109,3173,3237,3309,3381,3461,3558.6000000000004,3937.9333333333334,4.028248587570621,1.4278480451011353,2.0387500398991336,24.100605282380272,3.3894415802031563,2,19,3,3,3,4,4,4,4,4,6,4315.956685499058,1408.234457133984,1983124.2862594468,57.82248048083944,5.552744140622155,1399,22881,3749,3813,3861,3923,3971,4019,4083,4179,5700.666666666669,2025-04-11 01:22:45.381994,0
1251,629,622,1241768,653636,588132,992.6203037569944,259.6573014264771,67421.91418408038,7.174397244725947,-2.8657271603503953,16,1294,952,984,1000,1032,1048,1080,1096,1128,1160,1039.1669316375198,269.1492912367709,72441.34097325613,7.923490097366182,-3.073042618341599,16,1294,1016,1064,1080,1096,1112,1128,1128,1160,1176,945.5498392282958,240.7060419712251,57939.398641453176,7.910242326424861,-3.0371578806646085,38,1294,936,968,984,1000,1000,1016,1032,1048,1064,0.03200194396972656,0.03247438485212653,0.0010545856715240252,467.0747958523471,17.144221859376813,0,0.9304060935974121,0.004210511843363443,0.012372016906738281,0.018550141652425124,0.02540415128072103,0.030254483222961426,0.03655095100402832,0.04261368910471598,0.05007948875427246,0.057517743110656716,0.030698832053287772,0.040986424343369667,0.0016798869804547653,366.87995845422154,16.85713556082761,0,0.9304060935974121,0.0016560157140096037,0.00937914848327637,0.01584704717000326,0.023074626922607446,0.02851247787475586,0.03514758745829264,0.04027533531188965,0.04779982566833496,0.055813868840535484,0.03331762609757794,0.020489192679286058,0.00041980701664890937,12.725812022233908,1.518492199377336,0.000125885009765625,0.23213887214660645,0.0062989870707194015,0.014288949966430665,0.021114071210225425,0.027184009552001957,0.03169751167297363,0.03870628674825033,0.04370490709940592,0.051850795745849616,0.06075371106465659,2.141025641025641,0.4152342241205551,0.17241946088099938,8.955657074102986,3.0605768385836067,2,4,2,2,2,2,2,2,2,2,3,1670.871794871795,577.5147097466017,333523.2399737016,2.2035319491486787,1.062433357544789,1024,4016,1072,1104,1120,1178.6666666666665,1904,2000,2018.6666666666665,2064,2141.333333333333,2.175,0.7206767652699787,0.5193749999999999,50.52447792447006,6.737800366668033,2,8,2,2,2,2,2,2,2,2,3,1882.5,800.5801334032716,640928.55,13.120386882684798,2.6371376314616986,1100,6624,1153.8666666666668,1196,1234.9333333333334,1283.4666666666667,2144,2224,2256,2288,2346.133333333333,2025-04-11 04:18:28.744818,0
1252,629,623,1232864,624484,608380,984.7156549520766,251.70485589943797,63355.33448335684,7.987208363835984,-3.0765185589148207,16,1294,968,1016,1032,1032,1048,1064,1080,1080,1112,992.8203497615262,254.74598682861125,64895.51780528298,7.943977071919511,-3.0733693095098435,16,1294,984,1016,1032,1048,1064,1064,1080,1096,1112,976.5329052969503,248.32849585708274,61667.04185464116,8.085424457865217,-3.093663955834512,38,1294,968,1000,1016,1032,1032,1048,1064,1080,1096,0.03197371035361652,0.03362348418460007,0.001130538688712051,302.7515274160565,12.515103374216473,0,0.8668098449707031,0.0025265375773111977,0.00683140754699707,0.011566861470540365,0.019020223617553702,0.02905893325805664,0.03845740954081217,0.04823980331420898,0.05743694305419922,0.06427582105000813,0.026023545842261832,0.03883997948102771,0.0015085440060866532,346.8388293952397,16.21414392895339,0,0.8668098449707031,0.001778324445088705,0.006348133087158203,0.010524829228719076,0.015035549799601236,0.020865559577941895,0.026312987009684242,0.035887360572814934,0.04102611541748047,0.05627747376759847,0.03797162899427582,0.026035283561718893,0.0006778359901391099,6.159373019615833,0.713182143731794,0.00008702278137207031,0.2564980983734131,0.0030427773793538413,0.007200002670288088,0.015392700831095379,0.032179673512776695,0.041008949279785156,0.05295062065124512,0.05797100067138672,0.06331110000610352,0.06651488939921062,2.0839694656488548,0.32780016112341814,0.10745294563253889,18.083588210106317,4.199295115116691,2,4,2,2,2,2,2,2,2,2,2,1982.473282442748,341.676408858062,116742.76837014157,2.229653626598295,-1.6669820563227296,1086,2768,1175.4666666666667,2000,2032,2064,2080,2112,2128,2144,2176,2.15748031496063,0.6202005879532352,0.38464876929753866,59.94978811947596,7.011412750297652,2,8,2,2,2,2,2,2,2,2,3,2087.0551181102364,464.64812369335755,215897.8788517577,38.81094720248241,4.043889214653964,1088,6016,1717.066666666667,2048,2080,2112,2144,2144,2192,2208,2248,2025-04-10 02:51:17.337740,0
3538,1822,1716,3374480,1783225,1591255,953.7817976257772,497.58622329983956,247592.0496177978,-1.1216560131885174,-0.8625844318954274,16,1294,105,313,521,1294,1294,1294,1294,1294,1294,978.718441273326,447.1353278429857,199930.0014052543,-1.229863521095377,-0.7911084549794232,16,1294,297,393,553,1294,1294,1294,1294,1294,1294,927.3047785547785,544.8274740294879,296836.9764573523,-1.2602874773351687,-0.8428667493521237,25,1294,73,121,332.7333333333336,1294,1294,1294,1294,1294,1294,0.011308029609984315,0.024849958900833073,0.0006175204573730928,370.86480273443965,12.070713997587555,0,0.8517429828643799,0.0000069141387939453125,0.000012159347534179688,0.00006413459777832031,0.00014090538024902344,0.00019598007202148438,0.0004719416300455739,0.006041034062703451,0.016059732437133854,0.05145314534505213,0.013605073937212353,0.029514740459640795,0.0008711199043999573,356.8616496073811,13.31471654260467,0,0.8517429828643799,0.0000050067901611328125,0.0000069141387939453125,0.000010967254638671875,0.000012874603271484375,0.000015020370483398438,0.0012450377146402893,0.006612682342529286,0.03787617683410638,0.052818918228149415,0.008870431871125193,0.018353811834872724,0.00033686240886991406,4.306101242698195,2.3626417982552077,0.00006604194641113281,0.07780981063842773,0.0001201629638671875,0.00013957023620605465,0.0001760085423787435,0.0001948992411295573,0.00023555755615234375,0.0004037221272786451,0.004486783345540356,0.011131525039672843,0.03426718711853023,3.571729957805907,1.4127666705701398,1.9959096654738382,4.085909141269031,1.8134132087261805,2,11,2,3,3,3,3,3,3,5,6,3320.0928270042195,1332.2146625056198,1774795.9069949626,8.790636522231019,2.4283959675561775,1335,11912,2583,2629,2661,2677,2709,2725,2791.933333333333,5158,5349.4,3.8927789934354484,1.629693135845037,2.6558997170204304,8.027294200746303,2.2446434295044884,2,15,3,3,3,3,3,3,4,6,6,3814.0065645514223,1658.5405720929978,2750756.8292785683,10.038589532479168,2.4893640167133904,1398,16232,2821,2901,2949,2965,2997,3069,3312.733333333333,5731.6,6042,2025-04-10 07:51:18.198791,0
1254,631,623,1135640,553412,582228,905.6140350877193,232.42321911864255,54020.55278547253,7.528413115210093,-2.935221249908628,16,1294,872,920,936,952,952,968,984,1016,1032,877.039619651347,224.17719251571825,50255.4136442294,7.780250735563477,-3.0040943980439394,16,1294,872,904,904,920,936,938.1333333333332,952,968,984,934.5553772070626,237.00096456815987,56169.45720623818,7.933205474701854,-3.0359604281317742,38,1294,920,952,968,984,984,1000,1016,1032,1064,0.03188354913843981,0.03134636502135547,0.0009825946000520574,554.7690985377466,19.318785996923758,0.000008106231689453125,0.9380631446838379,0.005860249201456705,0.013831853866577148,0.02052179972330729,0.026357014973958332,0.030946969985961914,0.03608202934265137,0.040360768636067704,0.04709506034851074,0.05580830574035643,0.028447846003941128,0.03996892713674973,0.0015975151364628092,422.98494882296103,18.74907963779794,0.000008106231689453125,0.9380631446838379,0.0053504625956217475,0.011668729782104493,0.016226418813069663,0.02156365712483724,0.026401042938232422,0.030890973409016927,0.03615554173787435,0.04075722694396973,0.049044513702392586,0.0353578556789441,0.018350949629985316,0.00033675735232225826,-0.7952147744041498,-0.11414367416686164,0.00008392333984375,0.07893109321594238,0.00713777542114258,0.01807498931884766,0.026255607604980472,0.03125460942586263,0.0360109806060791,0.04033493995666504,0.04593761761983235,0.052719831466674805,0.06076367696126303,2.1095890410958904,0.3535202164538066,0.12497654344154625,11.51680058436815,3.380956099801471,2,4,2,2,2,2,2,2,2,2,2.3333333333333286,1666.849315068493,499.835580397232,249835.60743103773,-0.7956444368444502,0.1114253390039364,1024,3016,1056,1088,1104,1535.9999999999989,1936,1968,2000,2032,2085.333333333333,2.2535211267605635,0.6654091161136743,0.44276929180718116,15.504439337881056,3.6778258104441335,2,6,2,2,2,2,2,2,2,2,3,1617.774647887324,644.3547749314727,415193.0759769888,13.088482138961357,2.63198525397401,972,5328,1020,1045.6,1063.7333333333333,1141.6,1808,1842.1333333333332,1888,1936,2004,2025-04-11 04:19:53.757374,0
5213,2558,2655,5955086,2926585,3028501,1142.352963744485,339.7924611577508,115458.91665964156,3.551144238514584,-2.2297907105531363,16,1294,505,1129,1294,1294,1294,1294,1294,1294,1294,1144.091086786552,327.0175087765704,106940.4510464343,3.8211520208842344,-2.239178124478861,16,1294,697,1081,1294,1294,1294,1294,1294,1294,1294,1140.6783427495293,351.65387306618936,123660.4464424516,3.2902799431751504,-2.212965864940018,25,1294,393,1161,1294,1294,1294,1294,1294,1294,1294,0.0076729627361868495,0.020380205547440796,0.0004153527781559366,719.1343396283876,17.690301462389257,0,0.9034569263458252,0.0000059604644775390625,0.000011920928955078125,0.00006890296936035156,0.00011706352233886719,0.00013303756713867188,0.00019693374633789063,0.0021242221196492413,0.009656429290771483,0.031140987078348625,0.01020388440970196,0.025177329333494793,0.0006338979123672574,620.4054871309437,18.32750903477773,0,0.9034569263458252,0.0000050067901611328125,0.0000059604644775390625,0.000010013580322265625,0.000011920928955078125,0.000014066696166992188,0.0002979278564453131,0.006205924352010092,0.016442823410034182,0.041311645507812675,0.0052354611470425425,0.013883945058684274,0.00019276393039256349,10.859640218640328,3.3755004185516033,0.00004100799560546875,0.08011293411254883,0.00011301040649414063,0.00011706352233886719,0.00012111663818359375,0.00013100306193033855,0.0001659393310546875,0.00019693374633789063,0.00025825500488281246,0.003969383239746095,0.014858945210774858,5.128654970760234,1.6704686295642714,2.790465442358335,2.7909912903778853,1.8861762761156606,2,11,4,4,4,4,5,5,5,5,8,5864.060428849903,1792.0966567536389,3211610.42714757,2.829291846469922,2.0366380816880816,1847,12178,4867,4947,5043,5155,5265,5377,5499.666666666666,5617,9947.333333333334,5.1138211382113825,2.455136483986244,6.027695155000337,9.661715090509023,1.6320003542221044,2,26,2,3,4,4,5,5,6,7,8,5840.926829268293,2706.591906194683,7325639.746678567,10.041268437148506,1.605654745980311,98,29070,2588,3454.6,4675,4919.266666666666,5233,5686.866666666667,7161.099999999999,8073.599999999999,9510,2025-04-10 15:18:28.378621,0
1246,629,617,1139924,587320,552604,914.8667736757625,236.13337887712515,55758.97261992794,7.55058957210108,-2.960177592931299,16,1294,888,936,952,952,968,984,1000,1016,1048,933.7360890302067,242.86226506923896,58982.07979456128,7.605138030902886,-2.995392474421468,16,1294,920,952,968,984,1000,1000,1016,1032,1064,895.6304700162075,227.4646525237562,51740.168147753146,7.820341038796499,-3.0065522707799484,38,1294,888,904,936,936,952,952,968,984,1016,0.032099879506122635,0.035344773931364135,0.0012492530442592376,304.30432800300775,12.62924142746777,0,0.9092810153961182,0.002695767084757487,0.006415319442749023,0.01022582054138183,0.015601634979248047,0.026412010192871094,0.04081288973490397,0.05030215581258138,0.05835390090942383,0.06482837994893391,0.025967491280501055,0.041170708491369314,0.0016950272376813095,334.55689936851934,15.794663963024485,0,0.9092810153961182,0.002026518185933431,0.004479885101318359,0.008290251096089682,0.011943419774373373,0.01633298397064209,0.025329351425170895,0.03910942872365315,0.04901909828186035,0.05841100215911866,0.03834159718147166,0.026801041461289768,0.0007182958234097732,10.601174116362396,1.1225891053121422,0.00006389617919921875,0.28972578048706055,0.0037563800811767577,0.008467721939086915,0.014536142349243164,0.027646621068318705,0.04690194129943848,0.05347399711608887,0.05837295850118001,0.06363959312438965,0.06685754458109539,2.1202531645569622,0.34416648416006385,0.11845056881909947,7.238799983851511,2.7904313308130195,2,4,2,2,2,2,2,2,2,2,3,1816.253164556962,308.51335930512386,95180.49286973244,2.1120521452217007,-1.693586766359327,992,2640,1104,1824,1872,1882.666666666667,1904,1920,1952,1968.0000000000002,2024,2.1533742331288344,0.8970491644875702,0.8046972035078479,128.2061613495733,10.913117866760274,2,13,2,2,2,2,2,2,2,2,2,1898.2576687116564,805.4351610387455,648725.7986375099,97.34623181246998,8.629515033779317,152,11000,1100,1872,1936,1968,1984,2000,2032,2064,2096,2025-04-10 03:17:04.608825,0
6201,3133,3068,7424036,3713673,3710363,1197.2320593452669,295.39337190416,87257.2441649094,9.465193202276515,-3.3011656731932573,16,1294,1113,1289,1294,1294,1294,1294,1294,1294,1294,1185.3408873284393,321.1058960333649,103108.99646739016,7.534254780451494,-3.026016610704417,16,1294,1081,1289,1294,1294,1294,1294,1294,1294,1294,1209.3751629726205,266.0409723198184,70777.7989528744,12.124764789347632,-3.637360138412387,25,1294,1129,1289,1294,1294,1294,1294,1294,1294,1294,0.006447954370129493,0.01891016689802604,0.0003575944121111998,709.6069456020448,17.178469357403756,0,0.8706350326538086,0.0000050067901611328125,0.000010013580322265625,0.00009298324584960938,0.00011610984802246094,0.00012803077697753906,0.00019755363464355467,0.0012536923090616832,0.005866622924804687,0.01955184936523437,0.00872100594704483,0.022654411308683505,0.000513222351743007,667.7933007557343,18.418893246151043,0,0.8706350326538086,0.0000050067901611328125,0.0000050067901611328125,0.000007152557373046875,0.000010013580322265625,0.000011920928955078125,0.001741313934326172,0.005797831217447917,0.008877801895141608,0.04133446216583253,0.004127485811166378,0.0137135289952877,0.0001880608775045965,50.61418635597581,5.377490952373917,0.00003910064697265625,0.26105213165283203,0.00011110305786132813,0.00011491775512695313,0.00011801719665527344,0.00012183189392089844,0.0001430511474609375,0.0001811981201171875,0.0002300739288330078,0.0008878707885742234,0.0074744224548339904,5.683018867924528,1.9852033638573188,3.941032395870414,6.670918605573931,2.0906732626362516,2,19,4,5,5,5,5,5,5,6,8,6918.364150943396,2372.6308806251286,5629377.295695974,6.107138985121223,1.9528299191850662,200,22163,5171,5905,6289,6337,6385,6417,6455.266666666666,6514.6,10201.166666666666,5.998035363457761,3.085232598582242,9.518660187354532,72.11347951924047,5.535847979082289,2,49,3,4,5,5,5,6,7,8,10,7132.222003929273,3742.003276120189,14002588.51849423,67.58338913165323,5.230356626541915,84,58462,3697.8,5123,5217,6353,6433,6495,7742.066666666667,10124.000000000002,11650,2025-04-12 05:52:44.337253,0
3108,1390,1718,3112874,1525235,1587639,1001.5682110682111,497.2389236061996,247246.547149052,-0.37440737210776387,-1.2523849643053855,16,1294,89,153,1209,1289,1294,1294,1294,1294,1294,1097.2913669064749,406.00599013584673,164840.8640261893,2.1659223398960954,-2.002435756923049,16,1294,120,1161,1209,1257,1294,1294,1294,1294,1294,924.1204889406287,548.1858025102442,300507.6740738005,-1.2608926494969919,-0.8427921327185993,25,1294,73,105,329,1294,1294,1294,1294,1294,1294,0.012870186810943141,0.024254042084276454,0.0005882585574258533,546.6216911819064,16.12467649887999,0,0.8876829147338867,0.00011301040649414063,0.00014710426330566406,0.00020694732666015625,0.0004000663757324219,0.0047760009765625,0.007672818501790365,0.013658364613850912,0.024874258041381846,0.03908082644144694,0.016182531462546473,0.028218586871966368,0.0007962886450507125,653.0856260101313,21.510495107667957,0,0.8876829147338867,0.000011920928955078125,0.0028713226318359372,0.005844291051228841,0.006436967849731446,0.009835958480834961,0.013702519734700519,0.02209722201029459,0.028844022750854494,0.035999155044555635,0.010192161944192835,0.020100354134083336,0.0004040242363155611,13.087801422235312,2.7239127055968027,0.00005507469177246094,0.24718904495239258,0.00011920928955078125,0.00013589859008789063,0.00017786026000976563,0.0002028942108154297,0.00024247169494628906,0.000431696573893229,0.0042851765950520804,0.015613079071044922,0.048602183659871415,3.4916666666666667,1.4288447159233997,2.0415972222222205,5.260107921567041,1.9364807457661175,2,12,2,3,3,3,3,3,3,4,6,3291.8125,1307.6755436054273,1710015.3273437498,11.223402431774122,2.661939877293384,184,13014,2567,2613,2645,2661,2693,2725,2805,4805.199999999973,5332,3.1435643564356437,1.1895515289039202,1.415032839917654,1.297639703072532,1.03610705558499,2,9,2,2,2,3,3,3,4,4,5,3438.09900990099,1285.063938810323,1651389.3268307014,0.3207131823221152,0.6269345410933707,1265,9096,2439,2487,2535,2583.3333333333335,2741,3796.6666666666665,3939,4990,5102,2025-04-11 07:48:29.654843,0
6412,3263,3149,7562091,3839365,3722726,1179.3654086088584,287.257109649586,82516.6470442343,6.647960544678469,-2.7495544726952494,16,1294,841,1257,1294,1294,1294,1294,1294,1294,1294,1176.6365307998774,297.1942959806725,88324.44956344758,6.564087632168164,-2.7534747581189882,16,1294,841,1294,1294,1294,1294,1294,1294,1294,1294,1182.1930771673547,276.5553806518831,76482.87856750799,6.620961292275984,-2.7285253074424776,25,1294,873,1225,1294,1294,1294,1294,1294,1294,1294,0.006237046838717832,0.016841473923464734,0.00028363524391474264,1223.1118392525484,24.47086541116174,0,0.8960928916931152,0.0000059604644775390625,0.000012159347534179688,0.00008988380432128906,0.00011610984802246094,0.00013113021850585938,0.00019791920979817705,0.0015266577402750442,0.009241819381713864,0.02439613342285156,0.0086693455294405,0.021338375907989027,0.0004553262863906465,915.7782517443225,22.688150592183746,0,0.8960928916931152,0.0000050067901611328125,0.0000059604644775390625,0.000009059906005859375,0.000012159347534179688,0.000015020370483398438,0.001651986440022787,0.006273786226908366,0.015134286880493165,0.03451507886250816,0.0037174665500111486,0.00965952966739265,0.00009330651339523876,149.49476636523835,7.65492436674132,0.000034809112548828125,0.2541830539703369,0.00011205673217773438,0.00011515617370605469,0.00011801719665527344,0.0001251697540283203,0.00014495849609375,0.0001850128173828125,0.00023379325866699227,0.0011893272399902523,0.016613245010375984,5.46584938704028,1.6989149019935963,2.886311844215911,75.16137090965806,6.336173146141777,2,29,4,5,5,5,5,5,6,7,7,6492.014010507881,1977.108799410741,3908959.2047073822,76.31516703734326,6.382020505082434,1959,33852,4931,5192.2,5715.933333333333,6145,6209,6273,6353,8208.2,8381,5.655594405594406,2.238081134401633,5.009007164164501,100.11295583126086,7.982712917457743,2,39,5,5,5,5,5,5,6,6,7,6666.543706293706,2599.653523816964,6758198.443893958,112.58542783759816,8.597297814337074,1335,46434,5505,5889,6001.400000000001,6097,6177,6262.866666666667,6470,7663,7946.866666666669,2025-04-11 05:52:44.833268,0
