total_packets,total_packets_in,total_packets_out,total_bytes,total_bytes_in,total_bytes_out,packet_size_mean,packet_size_std,packet_size_var,packet_size_kurtosis,packet_size_skew,packet_size_min,packet_size_max,packet_size_p_10,packet_size_p_20,packet_size_p_30,packet_size_p_40,packet_size_p_50,packet_size_p_60,packet_size_p_70,packet_size_p_80,packet_size_p_90,packet_size_in_mean,packet_size_in_std,packet_size_in_var,packet_size_in_kurtosis,packet_size_in_skew,packet_size_in_min,packet_size_in_max,packet_size_in_p_10,packet_size_in_p_20,packet_size_in_p_30,packet_size_in_p_40,packet_size_in_p_50,packet_size_in_p_60,packet_size_in_p_70,packet_size_in_p_80,packet_size_in_p_90,packet_size_out_mean,packet_size_out_std,packet_size_out_var,packet_size_out_kurtosis,packet_size_out_skew,packet_size_out_min,packet_size_out_max,packet_size_out_p_10,packet_size_out_p_20,packet_size_out_p_30,packet_size_out_p_40,packet_size_out_p_50,packet_size_out_p_60,packet_size_out_p_70,packet_size_out_p_80,packet_size_out_p_90,packet_time_mean,packet_time_std,packet_time_var,packet_time_kurtosis,packet_time_skew,packet_time_min,packet_time_max,packet_time_p_10,packet_time_p_20,packet_time_p_30,packet_time_p_40,packet_time_p_50,packet_time_p_60,packet_time_p_70,packet_time_p_80,packet_time_p_90,packet_time_in_mean,packet_time_in_std,packet_time_in_var,packet_time_in_kurtosis,packet_time_in_skew,packet_time_in_min,packet_time_in_max,packet_time_in_p_10,packet_time_in_p_20,packet_time_in_p_30,packet_time_in_p_40,packet_time_in_p_50,packet_time_in_p_60,packet_time_in_p_70,packet_time_in_p_80,packet_time_in_p_90,packet_time_out_mean,packet_time_out_std,packet_time_out_var,packet_time_out_kurtosis,packet_time_out_skew,packet_time_out_min,packet_time_out_max,packet_time_out_p_10,packet_time_out_p_20,packet_time_out_p_30,packet_time_out_p_40,packet_time_out_p_50,packet_time_out_p_60,packet_time_out_p_70,packet_time_out_p_80,packet_time_out_p_90,out_burst_packets_mean,out_burst_packets_std,out_burst_packets_var,out_burst_packets_kurtosis,out_burst_packets_skew,out_burst_packets_min,out_burst_packets_max,out_burst_packets_p_10,out_burst_packets_p_20,out_burst_packets_p_30,out_burst_packets_p_40,out_burst_packets_p_50,out_burst_packets_p_60,out_burst_packets_p_70,out_burst_packets_p_80,out_burst_packets_p_90,out_burst_sizes_mean,out_burst_sizes_std,out_burst_sizes_var,out_burst_sizes_kurtosis,out_burst_sizes_skew,out_burst_sizes_min,out_burst_sizes_max,out_burst_sizes_p_10,out_burst_sizes_p_20,out_burst_sizes_p_30,out_burst_sizes_p_40,out_burst_sizes_p_50,out_burst_sizes_p_60,out_burst_sizes_p_70,out_burst_sizes_p_80,out_burst_sizes_p_90,in_burst_packets_mean,in_burst_packets_std,in_burst_packets_var,in_burst_packets_kurtosis,in_burst_packets_skew,in_burst_packets_min,in_burst_packets_max,in_burst_packets_p_10,in_burst_packets_p_20,in_burst_packets_p_30,in_burst_packets_p_40,in_burst_packets_p_50,in_burst_packets_p_60,in_burst_packets_p_70,in_burst_packets_p_80,in_burst_packets_p_90,in_burst_sizes_mean,in_burst_sizes_std,in_burst_sizes_var,in_burst_sizes_kurtosis,in_burst_sizes_skew,in_burst_sizes_min,in_burst_sizes_max,in_burst_sizes_p_10,in_burst_sizes_p_20,in_burst_sizes_p_30,in_burst_sizes_p_40,in_burst_sizes_p_50,in_burst_sizes_p_60,in_burst_sizes_p_70,in_burst_sizes_p_80,in_burst_sizes_p_90,datetime,label
944,462,482,316144,149995,166149,334.89830508474574,122.42703740862434,14988.379488652703,6.478772421399322,1.560164349313828,60,959,232,280,296,312,344,344,360,376,424,324.66450216450215,141.19239428208286,19935.292203107143,5.56444313644219,2.1201051599849854,60,863,232,264,280,296,296,312,328,353.5999999999999,414.9333333333325,344.70746887966806,100.2503272737286,10050.128118489692,8.062773744055264,0.17673559941836028,60,959,132,328,344,344,360,360,376,392,424,0.031785889622515356,0.036622700325489775,0.001341222179130629,304.8703014071726,13.366712280411383,0,0.881540060043335,0.003929853439331055,0.00694108009338379,0.0106202761332194,0.015633583068847656,0.025346040725708008,0.03796768188476563,0.04643766085306803,0.05935001373291016,0.06494800249735515,0.028893749522542228,0.045119771018757755,0.002035793736785132,273.91267014317356,14.717918036083425,0,0.881540060043335,0.0031816641489664714,0.006782865524291992,0.010033750534057617,0.015302133560180665,0.022256135940551758,0.031479597091674805,0.04006242752075195,0.04637937545776367,0.059147961934407536,0.03455202361854775,0.025714985777803474,0.0006612604935526348,-1.4924286200179473,0.17170299007496662,0.00018715858459472656,0.11060595512390137,0.00426021416982015,0.0072859287261962885,0.010988640785217284,0.01663378079732259,0.03137552738189697,0.045276371637980144,0.05926617781321208,0.0639923095703125,0.06661219596862793,2.0930232558139537,0.2904650231813208,0.08436992969172523,5.852564102564104,2.8022426915890257,2,3,2,2,2,2,2,2,2,2,2,711.953488372093,148.53208670992578,22061.78078240491,3.753215941446525,1.005073173156305,448,1319,496,624,672,688,720,736,752,798.4000000000001,864,2.0526315789473686,0.32014539633148537,0.10249307479224384,62.03360116873628,7.522364473188359,2,5,2,2,2,2,2,2,2,2,2,653.9912280701755,235.858733203408,55629.342028316394,8.48131468936108,2.3954965521939244,352,1999,432,512,544,576,604,624,656,732.8,1045.9333333333325,2025-04-11 21:40:09.988502,1
965,477,488,646826,284374,362452,670.2860103626944,229.2230876189271,52543.22389755433,2.6150976681730222,-0.15094092513840435,36,1294,552,584,600,632,664,712,729.0666666666675,760,840,596.1719077568134,190.57945350880496,36320.52809971475,5.587364764676217,0.0526502719051382,36,1294,552,568,584,600,600,616,632,648,664,742.7295081967213,240.38115351527037,57783.09896533198,2.7301494738073435,-0.6189995819897177,38,1294,648,696,712,728,744,760,776,824,952,0.031095570301119223,0.031776238713135445,0.001009729346754168,571.637531494583,21.04980773275668,0,0.8979330062866211,0.008382844924926757,0.017290353775024414,0.023161284128824868,0.02751329739888509,0.031122446060180664,0.03433070182800293,0.03811343510945638,0.04208254814147949,0.048638431231180834,0.03499218646217795,0.04223104919002576,0.001783461515690375,363.3045856761567,17.897799535428472,0,0.8979330062866211,0.01119526227315267,0.022067689895629884,0.027117594083150228,0.03098994890848796,0.03409695625305176,0.0376888116200765,0.0403684933980306,0.04523344039916992,0.05103327433268229,0.027294772570250463,0.01502554709284979,0.0002257670654394468,1.3937609934070831,0.4545944064363931,0.00004792213439941406,0.10239815711975098,0.00611674785614014,0.015245914459228516,0.019652764002482098,0.023505687713623047,0.02797996997833252,0.03127511342366537,0.03487038612365722,0.039259910583496094,0.044345100720723465,2.3541666666666665,1.0101481602000546,1.0203993055555554,7.7755598177088245,3.008056631944699,2,6,2,2,2,2,2,2,2,2,3,1648,1368.1296387160587,1871778.7083333333,6.3930501229982895,2.6197452725991828,752,6466,816,832,877.3333333333334,912,1179.5,1471.3333333333333,1611.8333333333337,2032.000000000001,2901.3333333333344,2.227272727272727,1.0630923239569543,1.1301652892561977,34.459371208753765,5.893887961398387,2,9,2,2,2,2,2,2,2,2,2.2333333333333414,1154.8181818181818,889.7896654605125,791725.6487603307,14.825152763846365,3.568076486563017,656,5819,672,688,704,721.0666666666666,752,1096.5333333333333,1221.8666666666666,1308.8000000000002,2052.8666666666722,2025-04-11 01:38:09.758129,1
984,485,499,529430,234019,295411,538.0386178861788,244.24943628705702,59657.78712654513,3.5360605120368716,1.4369595218621596,36,1300,408,440,456,488,504,520,552,584,744,482.5134020618557,212.3047855921604,45073.321985333205,6.7560347671631575,1.9690602776899102,36,1300,392,424,440,440,456,472,488,504,600,592.0060120240481,260.6224050998068,67924.03804000781,2.3095910887929723,1.0894092103686595,38,1294,472,504,520,536,536,552,584,648,931.7333333333327,0.030457928609993547,0.03539733360664077,0.0012529712264598197,313.30025785330344,13.49747356666837,0,0.8660390377044678,0.0023477077484130864,0.006297826766967774,0.011492252349853516,0.01688496271769206,0.025146961212158203,0.03313835461934408,0.04051200548807781,0.057976961135864265,0.06512912114461263,0.03250449206218246,0.04381560912970008,0.0019198076034066573,267.71071024869354,14.21027356476275,0,0.8660390377044678,0.002712790171305339,0.006449890136718751,0.01098785400390625,0.020975383122762054,0.03366100788116455,0.0395566463470459,0.042484911282857245,0.05510272979736328,0.06243479251861572,0.0284728851012572,0.024457659658216904,0.0005981771159571706,-0.1952970155452114,0.8207856144875039,0.00006198883056640625,0.1409149169921875,0.001723623275756836,0.006245088577270508,0.011533196767171223,0.015874131520589196,0.02132701873779297,0.026264778772989907,0.032908487319946285,0.06333212852478028,0.06647577285766601,2.2695652173913046,1.0157176869877451,1.031682419659735,21.633731354944338,4.520858736576294,2,9,2,2,2,2,2,2,2,2,2.1333333333333258,1489.104347826087,1290.1549173842118,1664499.7108506623,17.532298223339232,4.0159302054824995,592,9623,1008,1030.4,1056,1088,1088,1120,1184,1337.6,2171.2666666666664,2.2,1.0937840903778207,1.1963636363636367,58.24506425476476,7.309611511494718,2,12,2,2,2,2,2,2,2,2,2,1095.9363636363637,1185.343811092743,1405039.9504958685,36.690838263275765,5.864447982376594,496,10208,560,763.1999999999998,848,880,896,912,944,1017.5999999999999,1162.1333333333332,2025-04-11 11:10:11.461788,1
990,473,517,733233,250644,482589,740.6393939393939,317.3389932389901,100704.03662993581,-0.6146326141725775,-0.19901486297861265,25,1294,472,520,552,568,600,936,968,1016,1112,529.9027484143763,154.0401606458912,23728.371091811972,9.104240890731743,-0.04600262009714814,38,1294,488,520,520,536,552,557.333333333333,568,584,600,933.4410058027079,305.4926434854801,93325.75522374663,2.6735673046453066,-1.784788764093445,25,1294,348.13333333333384,920,952,952,984,1000,1032,1096,1294,0.030348697253498196,0.0335059644641922,0.0011226496546757102,452.45922804682743,17.607841107637643,0,0.8982350826263428,0.002393341064453125,0.009865188598632814,0.018334213892618814,0.026331202189127604,0.03050398826599121,0.03356747627258301,0.03762091000874837,0.044519329071044944,0.055848058064778675,0.03935599327087402,0.043369465530637814,0.0018809105404131814,322.9750105050289,16.423666991934407,0,0.8982350826263428,0.009448083241780604,0.02715325355529785,0.03186821142832438,0.034520260492960614,0.037436604499816895,0.040502770741780596,0.0475481112798055,0.0523777961730957,0.06093289852142333,0.022125401856590284,0.016991057138963088,0.0002886960226995085,1.277573737790477,0.9134202327184235,0.00003910064697265625,0.1001749038696289,0.00027642250061035164,0.005254459381103516,0.01051166852315267,0.016495148340861004,0.02118992805480957,0.026812267303466798,0.030130163828531897,0.033470678329467776,0.04013665517171224,2.3493975903614457,1.0577736900071313,1.1188851792713028,12.309981555633778,3.6048736195384214,2,7,2,2,2,2,2,2,2,2,3,1973.2168674698796,1179.7499637910087,1391809.9770648861,8.162290272443009,2.769324273007751,1008,6736,1056,1136,1329.6666666666665,1505.6666666666667,1856,1941.3333333333333,2058.6666666666665,2263,3066.333333333332,2.2641509433962264,1.0306792666979367,1.0622997508009968,31.741224421220572,5.452541463853217,2,9,2,2,2,2,2,2,2,2,3,1052.8301886792453,848.3189533635409,719645.0466358134,24.4326713229101,4.679866212154291,592,6248,624,640,672,688,992,1061.3333333333335,1120,1136,1157.3333333333335,2025-04-09 07:32:08.515671,1
979,486,493,656484,259040,397444,670.5658835546476,265.4172164249734,70446.29877478116,0.40877571546988634,-0.10156950828166138,23,1294,472,504,520,552,680,792,824,856,936,533.0041152263375,198.84530865270202,39539.45677318833,4.916835701681633,0.9897422390697115,23,1216,471.4666666666667,488,504,520,520,536,552,568,648,806.1744421906694,252.72527956855697,63870.066933005284,3.124837589027382,-1.3176106591849504,25,1294,728,776,792,808,824,840,872,904,1016,0.030650421398061428,0.03196379248719619,0.0010216840301645398,437.6309278207692,17.264798904967247,0,0.8493821620941162,0.003262122472127279,0.013507843017578127,0.02069087823232015,0.02592738469441732,0.030279994010925293,0.033079942067464195,0.037348747253417976,0.04322099685668946,0.05511279900868735,0.035996869175704486,0.04112057560353835,0.0016909017379663136,312.7458389403348,15.92882888673665,0,0.8493821620941162,0.006224234898885091,0.020862340927124023,0.027694304784138996,0.03056478500366211,0.03293204307556152,0.0371430238087972,0.04336752891540527,0.05139303207397461,0.06082204182942708,0.025390731393686413,0.01753684241938326,0.00030754084204228017,5.730720699698306,1.3117512251204675,0.00003790855407714844,0.1428689956665039,0.002155780792236328,0.010483026504516602,0.01606400807698568,0.0203249454498291,0.025095224380493164,0.029705047607421875,0.033224900563557945,0.03755903244018555,0.043216069539388016,2.3174603174603177,0.9566043919567851,0.9150919627110107,13.12376101321588,3.682366902641863,2,7,2,2,2,2,2,2,2,2,3,1738.4444444444443,1250.8921105796478,1564731.0723104056,10.695775608992017,3.1942265799256035,864,7538,906.6666666666666,928,949.3333333333333,1361.6666666666667,1568,1648,1712,1959.0000000000002,2582.333333333334,2.4074074074074074,1.4209871180185834,2.0192043895747593,16.1433534676276,4.060152440836213,2,10,2,2,2,2,2,2,2,2,3,1260.6666666666667,1378.3229611325442,1899774.185185185,12.426442808779756,3.6933901180928195,576,7513,608,627.2,666.1333333333333,915.2,1024,1040,1104,1252.8000000000002,1368.0333333333342,2025-04-10 17:02:08.072935,1
1461,514,947,1016826,339089,677737,695.9794661190965,489.7589786927022,239863.85721011876,-1.5458464064096962,0.025610717527650984,25,1294,89,121,185,648,680,744,1294,1294,1294,659.7062256809338,259.0942418271995,67129.82614801133,1.7329860106125752,-0.4893000548732361,38,1294,124,632,664,664,680,696,712,744,824,715.6673706441394,576.6423221637524,332516.36771040485,-1.9484284144210673,-0.03335547781322109,25,1294,73,105,128,185,745,1294,1294,1294,1294,0.020540350593932687,0.03113241739186703,0.0009692274126614247,465.6960142322611,16.451310368719327,0,0.9157629013061523,0.00017595291137695313,0.00022139549255371092,0.0004206577936808262,0.005548938115437826,0.013880372047424316,0.023921600977579748,0.03215201695760091,0.040775728225708,0.052172040939331046,0.02204827769690322,0.041730081677926266,0.0017413997168463976,407.1281404092818,19.155554120324062,0,0.9157629013061523,0.003432432810465499,0.006745100021362306,0.011720736821492514,0.015771389007568363,0.01900506019592285,0.024211724599202473,0.027465661366780598,0.03197884559631348,0.03925895690917969,0.019723490399820878,0.023431483390179645,0.0005490344138642646,-1.1997256487439898,0.6473439068499899,0.00006699562072753906,0.09174203872680664,0.00016500155131022137,0.00019502639770507813,0.00023558934529622393,0.00033262570699056,0.0015959739685058594,0.02084312438964844,0.03697648048400879,0.04740786552429206,0.05514380137125651,2.3861892583120206,0.8856419666442792,0.7843616930815465,27.625539533575132,4.201425084804454,2,11,2,2,2,2,2,2,2,3,3,1702.695652173913,833.6631775253472,694994.2935616587,53.17094551924066,6.12896897561563,1319,11267,1351,1367,1399,1415,1447,1479,1532.0666666666664,1626.6,2698.266666666666,2.367088607594937,0.8294761987547279,0.6880307643005928,11.63130506296736,3.088195075842873,2,7,2,2,2,2,2,2,2,3,3,1458.240506329114,817.6075660303808,668482.1320301234,1.865873874417109,1.4347409072140687,724,4671,759.2,784,812,904.5333333333333,1344,1390.9333333333334,1453.8666666666666,2454.4,2536,2025-04-08 19:33:55.496414,1
1477,515,962,1070386,347791,722595,724.7027758970887,470.2109068260592,221098.29689818493,-1.5467658321547637,0.016123485895122972,38,1294,121,185,265,632,696,776,1294,1294,1294,675.3223300970874,272.26261056747614,74126.92911301718,1.2371185450735345,-0.48183213949715775,38,1294,120,616,648,664,696,712,744,792,968,751.1382536382537,545.6868743864151,297774.1648776151,-1.9309211091129932,-0.060995305151948634,38,1294,121,159.40000000000032,201,265,841,1294,1294,1294,1294,0.020315030079870042,0.031163654001928786,0.0009711733307519321,356.61730265247,13.6002951412278,0,0.8610720634460449,0.00017499923706054688,0.0002206325531005859,0.0003255923589070637,0.003099234898885091,0.010587453842163086,0.019747002919514974,0.029405363400777148,0.04110140800476074,0.057052143414815265,0.021562532692103998,0.04010657262463948,0.001608537167695481,370.55506918121307,17.866652261103628,0,0.8610720634460449,0.0008790969848632813,0.005153894424438477,0.008993180592854819,0.014272324244181315,0.01792740821838379,0.022969849904378257,0.02724471886952718,0.03195614814758301,0.04107458591461182,0.01964848502510055,0.025086884641754476,0.0006293517810286966,-0.6235084917082565,0.869793896132946,0.00004601478576660156,0.13533306121826172,0.00016957918802897135,0.00020174980163574223,0.0002460797627766927,0.0003028392791748048,0.0014775991439819336,0.011897675196329753,0.035615849494934085,0.05138673782348633,0.059905028343200696,2.56986301369863,1.084723931990077,1.176626008632013,12.573914618273102,2.937049888177287,2,10,2,2,2,2,2,2,3,3,4,1954.0082191780823,1038.6796874316594,1078855.4930831299,24.212573403257785,4.165288916636383,1367,11013,1415,1447,1479,1511,1543,1595,1699.2666666666664,2570.199999999999,3027.6,2.336842105263158,0.8157724955788448,0.6654847645429364,23.289188167809527,4.1975157362299464,2,8,2,2,2,2,2,2,2,3,3,1526.1157894736841,752.4717146375935,566213.6813296401,13.880564580472239,2.8621960710939875,704,6199,778.9333333333334,867.2,1240,1352,1408,1468.2666666666667,1546.666666666666,1911.1999999999994,2458.133333333333,2025-04-09 00:07:27.377956,1
925,467,458,255153,146729,108424,275.8410810810811,75.03552772155925,5630.330420452886,2.535322473708952,0.06814851639995075,60,639,200,216,232,248,280,296,312,328,360,314.1948608137045,69.61542058344982,4846.306783010608,4.989328195171952,-1.3932726369767283,60,607,280,296,312,312,328,328,344,344,376,236.73362445414847,58.31336634703573,3400.448694723599,15.604601630209014,1.8664204517148741,60,639,200,216,216,232,232,248,248,264,280,0.03245996629004871,0.03575579987761494,0.0012784772248880482,444.47469947528054,17.65826477599735,0.000010013580322265625,0.9390420913696289,0.005524539947509765,0.01139068603515625,0.017985939979553223,0.0248568852742513,0.03060901165008545,0.03637889226277669,0.041955844561258955,0.05048508644104004,0.06049196720123292,0.023431831163398188,0.044691174061974516,0.0019973010390377036,375.1307572594687,18.476427461745804,0.000010013580322265625,0.9390420913696289,0.004646134376525879,0.009229373931884765,0.01219178040822347,0.01601584752400716,0.020810961723327637,0.02489948272705078,0.02856331666310628,0.032092666625976554,0.03860024611155186,0.04164579810013417,0.019488127138853343,0.00037978709938011213,-0.4814513225324153,-0.6720159814152353,0.00016617774963378906,0.07428097724914551,0.00629524389902751,0.02635812759399414,0.03610475858052572,0.04013276100158692,0.043654561042785645,0.04999597867329915,0.05435931682586669,0.05988502502441406,0.06426564852396648,2.046153846153846,0.20981817995362845,0.044023668639053215,16.715053763440856,4.326089893129922,2,3,2,2,2,2,2,2,2,2,2,447.10769230769233,124.85648660971009,15589.142248520715,5.828137086938392,2.010386735627126,288,967,320,342.4,352,416,448,448,480,496,578.1333333333333,2.1194029850746268,0.6353372135460527,0.4036533749164626,49.14205882782917,6.878969875912613,2,7,2,2,2,2,2,2,2,2,2,626.1940298507462,284.26554953234216,80806.90265092447,40.9370483430181,5.857356442096351,384,2719,400,432,520.5333333333333,608,640,656,675.7333333333333,707.2,734.9333333333333,2025-04-09 05:32:07.487756,1
1162,544,618,790845,340769,450076,680.5895008605852,344.6184340009675,118761.86505327921,-0.2929953940800516,0.2159628357840596,38,1300,124,536,568,584,616,664,744,954.4000000000005,1294,626.4136029411765,297.7864597724075,88676.77562378367,0.6907773719853356,0.3939128293898896,38,1300,123.06666666666669,536,552,584,600,616,664,744,1128,728.2783171521036,374.68216547970326,140386.72512855972,-0.7215433677973229,0.001833068801329785,38,1300,124,536,568,600,664,744,888,1176,1294,0.025837684889275077,0.032260940994403436,0.0010407683138443802,432.10121449702854,16.41569551127693,0.0000050067901611328125,0.8857080936431885,0.00019440650939941406,0.0035657882690429683,0.0087586243947347,0.017781575520833332,0.025393009185791016,0.030071083704630533,0.03505125045776367,0.040071868896484376,0.05475568771362304,0.03277912895104283,0.04157793553358941,0.0017287247232353172,323.249927327541,15.875626905717603,0.0000050067901611328125,0.8857080936431885,0.0036013921101888022,0.007239103317260745,0.018003940582275394,0.0300596555074056,0.03420591354370117,0.03689734141031901,0.04028733571370442,0.04744601249694825,0.05783327420552572,0.01973864908743059,0.018888287545477868,0.0003567674064006543,1.4208285240731353,1.1403385128039973,0.00006794929504394531,0.1119379997253418,0.00013530254364013675,0.0005660057067871096,0.0038419961929321293,0.011282364527384441,0.01838505268096924,0.023452679316202797,0.027762770652770996,0.03189301490783693,0.0403004089991252,2.8306451612903225,1.5797191164864448,2.495512486992714,3.5806175497147326,2.0596354138146733,2,9,2,2,2,2,2,2,3,3,6,2184.5241935483873,1778.3484249107128,3162523.120382413,2.327946111091584,1.7395526672187234,636,8625,701.2,879.9999999999999,1152.6666666666667,1297.0666666666666,1519.5,1889.5333333333324,2167.7999999999997,2763.3999999999996,5266.199999999994,2.51,1.5715915499900097,2.469900000000001,28.28589829220233,4.858316836769806,2,14,2,2,2,2,2,2,2,2.5999999999999943,3,1631.53,1836.7085422298221,3373498.2690999983,19.742225815429023,4.0310336595174245,180,13879,662.9333333333334,701.6,753.7333333333333,1095.4666666666667,1216,1280,1417.0666666666664,1760.7999999999997,2481.5,2025-04-12 08:09:20.038826,1
1064,537,527,756327,367344,388983,710.8336466165414,289.80806708510454,83988.71574760444,0.8245361063657182,-0.4690793074208495,25,1300,124,632,664,696,744,776,792,840,1016,684.0670391061452,288.92452471297514,83477.38098061859,0.9664696180009447,-0.08788823604488238,25,1300,124,616,632,648,664,680,728,792,1096,738.1081593927894,288.1593448699713,83035.80803589104,1.0045815683219566,-0.8716587287567081,38,1294,132,728,760,776,776,792,824,856,968,0.02821594347733994,0.030911964019843963,0.0009555495195641277,572.1911914952644,20.545874763999485,0.0000050067901611328125,0.8925259113311768,0.0014466444651285806,0.011842012405395508,0.020532290140787748,0.02586960792541504,0.029851913452148438,0.032724459966023765,0.036201318105061844,0.040322065353393555,0.045915285746256515,0.024915920709496112,0.03997845499133884,0.0015982768634945055,410.8849299046313,19.060208004725418,0.0000050067901611328125,0.8925259113311768,0.0009167591730753581,0.00900888442993164,0.016235232353210456,0.02255311012268067,0.025664567947387695,0.028505627314249674,0.030930360158284504,0.03307976722717285,0.038923207918802896,0.0315723233702513,0.01671838482873428,0.00027950439128165245,0.5413295605765556,-0.27299177835834676,0.0000400543212890625,0.10753202438354492,0.001616287231445314,0.017408752441406255,0.026817401250203456,0.03205730120340984,0.035249948501586914,0.03770607312520345,0.04076422055562337,0.04428400993347168,0.049695666631062826,2.4285714285714284,1.1900951771233448,1.4163265306122454,5.963408050893209,2.737706177373745,2,7,2,2,2,2,2,2,2,2,3.633333333333333,1446.3285714285714,1345.8697742291688,1811365.449183674,6.123771511952558,2.7636751094191054,836,6410,861.4666666666667,880,892,896,914,946.9333333333333,985.0666666666666,1546.2,2065.2666666666664,2.8620689655172415,1.6758762593410845,2.808561236623066,7.484233499502782,2.4379896217196584,2,11,2,2,2,2,2,2,2,5,5,1888.896551724138,1832.5079826674237,3358085.506539831,0.5707996283410322,1.4045992366946183,676,7746,740.6666666666666,764,783.3333333333334,788,816,885.3333333333335,1474.6666666666667,4804,4897.333333333333,2025-04-11 19:07:23.824802,1
