0.000000000000000000e+00,0.000000000000000000e+00
1.010101010101010187e-02,1.662606854834459622e-02
2.020202020202020374e-02,3.325213709668919243e-02
3.030303030303030387e-02,4.987820564503379211e-02
4.040404040404040747e-02,6.650427419337838486e-02
5.050505050505051108e-02,8.313034274172298455e-02
6.060606060606060774e-02,9.975641129006758423e-02
7.070707070707071829e-02,1.163824798384121839e-01
8.080808080808081495e-02,1.330085483867567697e-01
9.090909090909091161e-02,1.496346169351013555e-01
1.010101010101010222e-01,1.662606854834459691e-01
1.111111111111111188e-01,1.828867540317905271e-01
1.212121212121212155e-01,1.995128225801351685e-01
1.313131313131313260e-01,2.161388911284797543e-01
1.414141414141414366e-01,2.327649596768243678e-01
1.515151515151515194e-01,2.493910282251689259e-01
1.616161616161616299e-01,2.660170967735135394e-01
1.717171717171717404e-01,2.826431653218581252e-01
1.818181818181818232e-01,2.992692338702027111e-01
1.919191919191919338e-01,3.158953024185472969e-01
2.020202020202020443e-01,3.325213709668919382e-01
2.121212121212121271e-01,3.491474395152365240e-01
2.222222222222222376e-01,3.657735080635810543e-01
2.323232323232323482e-01,3.823995766119256956e-01
2.424242424242424310e-01,3.982221663727164573e-01
2.525252525252525415e-01,4.120768153350058971e-01
2.626262626262626521e-01,4.259314642972952814e-01
2.727272727272727626e-01,4.397861132595847211e-01
2.828282828282828731e-01,4.518155603966722000e-01
2.929292929292929282e-01,4.635642072529594371e-01
3.030303030303030387e-01,4.753128541092467296e-01
3.131313131313131493e-01,4.870615009655340222e-01
3.232323232323232598e-01,4.988101478218213147e-01
3.333333333333333703e-01,5.105587946781086073e-01
3.434343434343434809e-01,5.218683246974294976e-01
3.535353535353535914e-01,5.321427936010443283e-01
3.636363636363636465e-01,5.424172625046590479e-01
3.737373737373737570e-01,5.526917314082735455e-01
3.838383838383838675e-01,5.629662003118883762e-01
3.939393939393939781e-01,5.724664976801683292e-01
4.040404040404040886e-01,5.815265798616893189e-01
4.141414141414141992e-01,5.905866620432104197e-01
4.242424242424242542e-01,5.996467442247312984e-01
4.343434343434343647e-01,6.087068264062522882e-01
4.444444444444444753e-01,6.177669085877733890e-01
4.545454545454545858e-01,6.268269907692943788e-01
4.646464646464646964e-01,6.358870729508154795e-01
4.747474747474748069e-01,6.449093345299996560e-01
4.848484848484848619e-01,6.517380011736534362e-01
4.949494949494949725e-01,6.585666678173074384e-01
5.050505050505050830e-01,6.653953344609612186e-01
5.151515151515152491e-01,6.722240011046152208e-01
5.252525252525253041e-01,6.790526677482688900e-01
5.353535353535353591e-01,6.858813343919226702e-01
5.454545454545455252e-01,6.927100010355766724e-01
5.555555555555555802e-01,6.995386676792305636e-01
5.656565656565657463e-01,7.063673343228844548e-01
5.757575757575758013e-01,7.131960009665382350e-01
5.858585858585858563e-01,7.200246676101919041e-01
5.959595959595960224e-01,7.268533342538459063e-01
6.060606060606060774e-01,7.336820008974997975e-01
6.161616161616162435e-01,7.405106675411536887e-01
6.262626262626262985e-01,7.473393341848074689e-01
6.363636363636364646e-01,7.541680008284613601e-01
6.464646464646465196e-01,7.609966674721151403e-01
6.565656565656565746e-01,7.678253341157690315e-01
6.666666666666667407e-01,7.746540007594229227e-01
6.767676767676767957e-01,7.814826674030765918e-01
6.868686868686869618e-01,7.883113340467305941e-01
6.969696969696970168e-01,7.951400006903843742e-01
7.070707070707071829e-01,8.019686673340382654e-01
7.171717171717172379e-01,8.087973339776922677e-01
7.272727272727272929e-01,8.156260006213459368e-01
7.373737373737374590e-01,8.224546672649999390e-01
7.474747474747475140e-01,8.292833339086538302e-01
7.575757575757576801e-01,8.361120005523077214e-01
7.676767676767677351e-01,8.429406671959615016e-01
7.777777777777777901e-01,8.497693338396153928e-01
7.878787878787879562e-01,8.565980004832691730e-01
7.979797979797980112e-01,8.634266671269228421e-01
8.080808080808081773e-01,8.702553337705769554e-01
8.181818181818182323e-01,8.770840004142307356e-01
8.282828282828283983e-01,8.839126670578846268e-01
8.383838383838384534e-01,8.907413337015384069e-01
8.484848484848485084e-01,8.975700003451920761e-01
8.585858585858586745e-01,9.043986669888461893e-01
8.686868686868687295e-01,9.112273336324999695e-01
8.787878787878788955e-01,9.180560002761538607e-01
8.888888888888889506e-01,9.248846669198076409e-01
8.989898989898991166e-01,9.317133335634615321e-01
9.090909090909091717e-01,9.385420002071154233e-01
9.191919191919192267e-01,9.453706668507692035e-01
9.292929292929293927e-01,9.521993334944230947e-01
9.393939393939394478e-01,9.590280001380768748e-01
9.494949494949496138e-01,9.658566667817309881e-01
9.595959595959596689e-01,9.726853334253847683e-01
9.696969696969697239e-01,9.795140000690384374e-01
9.797979797979798899e-01,9.863426667126924396e-01
9.898989898989899450e-01,9.931713333563463308e-01
1.000000000000000000e+00,1.000000000000000000e+00
